               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.042115,            0.020195,           0.0037811,             0.76613,             0.66066,             0.71651,             0.47093,             0.05789,            0.014447,            0.014384,           0.0050062,           0.0050062,           0.0050062
                 109,            0.041206,             0.01936,           0.0041323,             0.75952,             0.66025,             0.70965,             0.46518,            0.061186,            0.014797,            0.014678,            0.004936,            0.004936,            0.004936
                 110,            0.041218,            0.020014,            0.004283,             0.79535,             0.64064,             0.70374,             0.46799,            0.062078,            0.014788,            0.014823,           0.0048659,           0.0048659,           0.0048659
                 111,            0.040896,            0.019897,           0.0041685,             0.80536,             0.62869,             0.70165,             0.46424,            0.063958,            0.014574,            0.016273,            0.004796,            0.004796,            0.004796
                 112,            0.040486,            0.019643,           0.0036699,             0.76922,              0.6286,             0.71171,             0.48352,            0.063572,            0.014252,            0.017657,           0.0047263,           0.0047263,           0.0047263
                 113,              0.0408,            0.019817,           0.0040462,             0.81586,             0.63687,             0.71581,             0.48104,            0.059572,            0.014565,            0.015151,           0.0046568,           0.0046568,           0.0046568
                 114,            0.039885,            0.019542,           0.0038106,             0.74988,             0.64097,             0.69885,             0.46337,            0.056446,            0.015261,            0.015812,           0.0045875,           0.0045875,           0.0045875
                 115,            0.039839,            0.019912,           0.0035534,             0.81077,             0.59555,             0.68181,             0.45066,            0.059532,            0.014846,            0.024192,           0.0045184,           0.0045184,           0.0045184
                 116,            0.040473,            0.019417,           0.0035019,             0.70987,              0.7058,              0.7292,             0.47611,            0.057365,            0.015039,            0.015943,           0.0044495,           0.0044495,           0.0044495
                 117,            0.040286,            0.019502,           0.0032832,             0.82119,             0.65235,             0.72525,             0.48253,            0.055185,            0.014922,            0.016517,           0.0043809,           0.0043809,           0.0043809
                 118,            0.038832,            0.019345,           0.0034184,             0.78229,             0.65903,             0.71835,             0.47913,            0.062319,             0.01546,            0.016449,           0.0043126,           0.0043126,           0.0043126
                 119,            0.038958,            0.019714,           0.0032897,             0.80198,              0.6621,             0.72854,               0.489,            0.059336,            0.015547,            0.014373,           0.0042445,           0.0042445,           0.0042445
                 120,            0.038857,            0.018896,           0.0033261,              0.8298,             0.63627,              0.7307,             0.49036,            0.058742,            0.014615,            0.015057,           0.0041768,           0.0041768,           0.0041768
                 121,            0.038862,            0.018381,           0.0035916,             0.76842,             0.66017,             0.72468,             0.47615,            0.059379,            0.015356,             0.01371,           0.0041094,           0.0041094,           0.0041094
                 122,            0.038669,            0.019177,           0.0032577,             0.76871,             0.69915,             0.74295,             0.49318,            0.058927,             0.01483,            0.013906,           0.0040424,           0.0040424,           0.0040424
                 123,            0.038027,            0.018929,            0.003209,             0.79434,             0.66192,             0.74054,             0.49826,            0.060765,             0.01502,            0.014072,           0.0039757,           0.0039757,           0.0039757
                 124,            0.037983,            0.018905,           0.0033824,             0.81865,             0.68095,             0.74815,             0.49987,            0.060085,             0.01504,            0.013347,           0.0039094,           0.0039094,           0.0039094
                 125,            0.037572,            0.019424,            0.002806,             0.80864,             0.66328,             0.73268,             0.48693,            0.059278,            0.015269,            0.014185,           0.0038434,           0.0038434,           0.0038434
                 126,            0.037524,            0.019017,            0.003103,             0.76995,              0.6721,              0.7223,             0.48095,            0.058122,            0.015749,            0.014179,           0.0037779,           0.0037779,           0.0037779
                 127,            0.037351,            0.019066,           0.0032824,             0.79525,             0.65342,             0.72949,             0.48257,             0.06112,            0.015004,             0.01398,           0.0037128,           0.0037128,           0.0037128
                 128,            0.037809,            0.019155,           0.0029563,             0.81872,               0.645,             0.73019,             0.49608,            0.064162,            0.014402,            0.013936,           0.0036482,           0.0036482,           0.0036482
                 129,            0.037361,            0.018988,           0.0026707,             0.77564,             0.68735,             0.72818,             0.49284,            0.063828,            0.014557,            0.014351,            0.003584,            0.003584,            0.003584
                 130,            0.036533,            0.019468,           0.0030156,             0.78489,             0.68773,              0.7437,             0.49203,            0.062661,            0.014635,            0.013979,           0.0035203,           0.0035203,           0.0035203
                 131,            0.035841,            0.018656,           0.0029129,             0.79111,             0.65299,             0.72129,             0.48423,            0.057209,            0.015812,              0.0154,            0.003457,            0.003457,            0.003457
                 132,            0.036674,            0.018146,           0.0030836,             0.81885,             0.66088,             0.74312,             0.48846,            0.060359,            0.015182,            0.014167,           0.0033943,           0.0033943,           0.0033943
                 133,             0.03663,            0.018678,           0.0029921,             0.75104,             0.72114,             0.75165,             0.49703,            0.059508,            0.015675,             0.01509,           0.0033321,           0.0033321,           0.0033321
                 134,            0.035545,            0.018269,           0.0026716,             0.82329,             0.65682,             0.73606,             0.48858,            0.058608,            0.015364,            0.013582,           0.0032704,           0.0032704,           0.0032704
                 135,            0.035543,            0.018228,           0.0027002,             0.79445,             0.65237,             0.73029,              0.4882,            0.057079,            0.015187,            0.013136,           0.0032093,           0.0032093,           0.0032093
                 136,            0.035277,            0.018204,           0.0025932,             0.76781,             0.66872,             0.72283,             0.48719,             0.05875,            0.015776,            0.014229,           0.0031488,           0.0031488,           0.0031488
                 137,            0.034589,             0.01831,           0.0033381,              0.7723,             0.65128,             0.72033,             0.48836,            0.059111,            0.015512,            0.014409,           0.0030888,           0.0030888,           0.0030888
                 138,             0.03523,            0.018432,           0.0025958,             0.73289,              0.6971,             0.73162,             0.49052,            0.059113,            0.015698,            0.014945,           0.0030294,           0.0030294,           0.0030294
